year,lon,lat,dep,mag
2000,105.08,32.13,8.0,2.2
2000,105.17,32.08,11.0,2.0
2000,104.13,31.47,5.0,1.5
2000,103.88,31.3,9.0,1.7
2000,98.9,25.15,10.0,3.4
2000,100.3,26.18,20.0,1.9
2000,102.43,23.45,5.0,2.5
2000,103.7,31.55,9.0,1.3
2000,104.12,32.75,8.0,1.9
2000,103.62,31.02,9.0,1.5
2000,103.75,31.3,10.0,1.6
2000,102.57,28.98,9.0,1.8
2000,102.5,29.38,11.0,1.7
2000,102.82,26.78,11.0,2.0
2000,102.98,27.93,10.0,2.3
2000,101.6,23.48,5.0,2.3
2000,103.65,31.05,10.0,1.6
2000,101.32,26.7,25.0,1.3
2000,103.67,31.13,13.0,1.3
2000,102.48,28.93,16.0,2.2
2000,104.22,31.55,10.0,1.5
2000,102.32,29.18,17.0,1.9
2000,102.63,26.97,10.0,2.3
2000,103.93,31.27,8.0,1.8
2000,103.72,31.8,16.0,1.5
2000,103.97,31.23,7.0,2.0
2000,102.32,29.12,1.0,1.8
2000,100.12,31.63,3.0,3.5
2000,104.17,31.78,2.0,2.2
2000,101.83,31.78,6.0,1.4
2000,100.07,31.62,7.0,2.1
2000,100.07,31.6,4.0,2.0
2000,102.63,23.75,25.0,1.1
2000,104.08,31.43,12.0,1.2
2000,100.12,31.63,1.0,3.6
2000,103.27,24.03,25.0,2.1
2000,103.6,31.17,31.0,2.0
2000,100.13,31.63,2.0,3.2
2000,103.95,26.43,5.0,2.7
2000,104.05,23.62,10.0,2.3
2000,103.72,24.05,25.0,2.3
2000,101.97,23.57,15.0,2.3
2000,100.85,27.93,5.0,2.7
2000,102.22,28.22,5.0,1.4
2000,103.27,31.38,5.0,2.4
2000,100.08,31.62,6.0,2.0
2000,100.05,31.62,7.0,1.5
2000,101.72,31.75,17.0,1.2
2000,101.77,31.7,13.0,1.9
2000,101.72,31.7,13.0,2.2
2000,101.73,31.73,10.0,1.3
2000,103.45,28.22,2.0,3.2
2000,104.17,31.32,8.0,1.4
2000,103.05,29.33,5.0,3.4
2000,103.88,31.12,11.0,1.4
2000,100.03,26.52,10.0,1.8
2000,103.67,28.28,7.0,2.3
2000,101.83,29.07,5.0,2.3
2000,102.42,26.52,6.0,2.1
2000,101.37,28.0,3.0,2.0
2000,102.58,30.12,11.0,1.8
2000,102.32,29.08,10.0,1.8
2000,101.07,25.55,5.0,4.5
2000,101.33,27.22,11.0,2.2
2000,98.87,24.83,25.0,3.0
2000,101.17,26.97,5.0,2.6
2000,101.85,29.03,5.0,2.4
2000,106.72,30.22,5.0,2.9
2000,104.1,31.17,8.0,1.5
2000,104.78,33.18,6.0,2.0
2000,104.77,33.1,21.0,2.7
2000,103.88,31.27,5.0,1.1
2000,103.58,31.27,10.0,2.6
2000,103.97,32.83,5.0,2.1
2000,104.02,31.63,5.0,1.1
2000,103.95,32.8,9.0,2.8
2000,103.93,32.83,8.0,2.1
2000,103.95,32.83,19.0,2.3
2000,101.88,29.07,8.0,1.9
2000,101.88,32.4,5.0,2.1
2000,100.08,31.62,2.0,2.0
2000,104.13,32.55,12.0,2.1
2000,103.9,31.23,5.0,1.2
2000,103.98,31.38,14.0,1.1
2000,101.38,26.53,15.0,1.5
2000,103.72,31.2,5.0,1.6
2000,103.07,27.15,25.0,2.2
2000,101.87,32.52,7.0,2.5
2000,98.17,24.27,10.0,2.2
2000,101.28,28.03,12.0,2.2
2000,99.97,25.53,10.0,3.3
2000,98.4,23.78,10.0,3.0
2000,103.9,31.37,8.0,1.2
2000,103.53,33.23,5.0,2.3
2000,103.6,30.93,5.0,2.9
2000,103.58,30.92,8.0,2.3
2000,103.97,31.22,12.0,1.3
2000,104.82,32.85,1.0,2.2
2000,101.93,28.62,8.0,2.4
2000,102.55,30.2,9.0,1.4
2000,101.8,31.67,1.0,2.5
2000,100.25,26.97,15.0,2.0
2000,103.85,31.12,8.0,1.5
2000,100.62,31.58,8.0,1.6
2000,100.78,23.72,10.0,3.5
2000,101.35,31.82,2.0,1.5
2000,101.35,31.8,19.0,1.8
2000,103.85,28.48,10.0,1.8
2000,102.22,27.98,8.0,2.7
2000,102.23,28.0,10.0,2.7
2000,104.57,31.67,2.0,2.0
2000,102.13,30.97,4.0,2.4
2000,102.1,27.23,8.0,1.9
2000,100.13,31.68,1.0,2.0
2000,103.87,31.2,9.0,1.3
2000,101.03,27.58,8.0,2.3
2000,101.37,25.13,5.0,2.0
2000,101.05,27.58,5.0,2.4
2000,102.28,29.47,9.0,1.7
2000,103.68,31.13,13.0,1.7
2000,103.67,31.17,5.0,1.5
2000,102.0,32.47,13.0,1.8
2000,102.65,30.58,10.0,1.8
2000,101.1,27.42,5.0,1.9
